FID,County,Sub_County,AEZ_Code,AEZ_Name,AEZSubzone,Major_Crop,AREA,Shape__Area,Shape__Length
10139,Siaya,Emuhaya Sub County,UM 1,Upper Midland,p or two,Coffee - Tea Zone,4.16967101773,35725.8752098083,1475.43358791625
10140,Siaya,Gem Sub County,UM 1,Upper Midland,p or two,Coffee - Tea Zone,1730.47721899,17422634.4530897,24523.0723423652
10141,Siaya,Luanda Sub County,UM 1,Upper Midland,p or two,Coffee - Tea Zone,23.3870147734,125.131335258484,56.524591577947
10142,Siaya,Luanda Sub County,UM 1,Upper Midland,p or two,Coffee - Tea Zone,23.3870147734,111.097664356232,124.93861907296
10143,Siaya,Luanda Sub County,UM 1,Upper Midland,p or two,Coffee - Tea Zone,23.3870147734,235227.652380049,2520.01597888614
10144,Siaya,Rarieda Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,505.206834508,47487.694770813,1032.42582984159
10145,Siaya,Rarieda Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,505.206834508,30700.9654922485,1301.48452852229
10146,Siaya,Rarieda Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,505.206834508,23025.5101089478,591.935902250646
10147,Siaya,Rarieda Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,505.206834508,22280.4286956787,643.674416575626
10148,Siaya,Rarieda Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,505.206834508,16.0164566040039,91.5978224079615
10149,Siaya,Rarieda Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,505.206834508,56837.6525039673,1048.63018538929
10150,Siaya,Rarieda Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,505.206834508,148081.654014587,1605.47267995094
10151,Siaya,Rarieda Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,505.206834508,9094.54986572266,599.15530532877
10152,Siaya,Rarieda Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,505.206834508,458485.343193054,4340.08372677144
10153,Siaya,Rarieda Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,505.206834508,43953.6482467651,1128.44306287009
10154,Siaya,Rarieda Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,505.206834508,897606.556869507,7264.19633140803
10155,Siaya,Rarieda Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,505.206834508,1959436.86494446,16714.7143292253
10156,Siaya,Rarieda Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,505.206834508,35825.103187561,1280.95565062013
10157,Siaya,Rarieda Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,505.206834508,156853.668159485,2480.97114555658
10158,Siaya,Rarieda Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,505.206834508,2283.63403320313,265.300912523261
10159,Siaya,Rarieda Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,505.206834508,241049.142227173,2116.72424020821
10160,Siaya,Rarieda Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,505.206834508,304103.008026123,2508.26083762667
10161,Siaya,Rarieda Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,505.206834508,34.5652008056641,43.3980263147637
10162,Siaya,Rarieda Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,505.206834508,138511.091094971,1894.35383148422
10163,Siaya,Rarieda Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,505.206834508,163114.806610107,2355.32351521854
10164,Siaya,Rarieda Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,505.206834508,48118.6596984863,1135.79680295982
10165,Siaya,Rarieda Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,505.206834508,1000.23265075684,249.059082147665
10166,Siaya,Rarieda Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,505.206834508,226825.086227417,2448.48824951452
10167,Siaya,Rarieda Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,505.206834508,146.080200195313,66.1955338489133
10168,Siaya,Rarieda Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,505.206834508,16.5238800048828,29.6488107382934
10169,Siaya,Rarieda Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,505.206834508,94.3486480712891,52.0449662873145
10170,Siaya,Rarieda Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,505.206834508,69406.5638580322,1103.88955854939
10171,Siaya,Rarieda Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,505.206834508,3036.46192932129,357.418460607828
10172,Siaya,Bondo Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,577.965007098,45951.1540241241,1053.56802140492
10173,Siaya,Bondo Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,577.965007098,1496.27723503113,304.601737792023
10174,Siaya,Bondo Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,577.965007098,76832.785364151,2770.59369158283
10175,Siaya,Bondo Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,577.965007098,266.816133499146,120.430767836344
10176,Siaya,Bondo Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,577.965007098,21957.6910991669,1029.50505196745
10177,Siaya,Bondo Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,577.965007098,813806.407323837,7033.66816644635
10178,Siaya,Bondo Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,577.965007098,25307.0021629333,1096.42823530461
10179,Siaya,Bondo Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,577.965007098,221266.832675934,2136.89575036626
10180,Siaya,Bondo Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,577.965007098,70856.1910095215,1161.83384176323
10181,Siaya,Bondo Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,577.965007098,291243.161510468,2621.26296924643
10182,Siaya,Bondo Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,577.965007098,55239.0094184875,1141.38369307416
10183,Siaya,Bondo Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,577.965007098,17034.5829658508,505.200861655342
10184,Siaya,Bondo Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,577.965007098,214677.549411774,2373.58867612219
10185,Siaya,Bondo Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,577.965007098,615603.84841156,4604.85333681544
10186,Siaya,Bondo Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,577.965007098,1414290.93188095,8563.54716451608
10187,Siaya,Bondo Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,577.965007098,25018.5251922607,973.511280056365
10188,Siaya,Bondo Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,577.965007098,279227.819900513,4042.40900996062
10189,Siaya,Bondo Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,577.965007098,12192.3419265747,516.928356051301
10190,Siaya,Bondo Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,577.965007098,172029.991127014,1955.17988856832
10191,Siaya,Bondo Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,577.965007098,50935.9568443298,1378.48992754777
10192,Siaya,Bondo Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,577.965007098,166322.106300354,1710.16356100496
10193,Siaya,Bondo Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,577.965007098,1721.03078079224,246.197769395852
10194,Siaya,Bondo Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,577.965007098,17411.3848342896,838.534963510921
10195,Siaya,Bondo Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,577.965007098,36371.6624603271,1006.10530981831
10196,Siaya,Bondo Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,577.965007098,6849.32025146484,543.037087463942
10197,Siaya,Bondo Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,577.965007098,53.2456588745117,33.450650447131
10198,Siaya,Bondo Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,577.965007098,368628.708145142,3317.64558947777
10199,Siaya,Bondo Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,577.965007098,488753.434318542,3957.25837239676
10200,Siaya,Bondo Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,577.965007098,66529.7863769531,1501.71241211032
10201,Siaya,Bondo Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,577.965007098,194819.366386414,1912.3626851236
10202,Siaya,Bondo Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,577.965007098,23842.0764694214,849.321175225311
10203,Siaya,Bondo Sub County,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,577.965007098,24680.9565200806,618.147885507999
10204,Siaya,Sub-County in Siaya,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,93011.4884413,936758283.215728,376266.282296571
10205,Siaya,Sub-County in Siaya,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,Waterbody - Lake Victoria,93011.4884413,29.9718322753906,76.5855186770709
10206,Siaya,Rarieda Sub County,Waterbody - LM 3,Waterbody - Lower Midland,Waterbody - m + (vs/s or vs),Waterbody - Cotton Zone,97.2819761371,979555.499794006,6914.86167425897
10207,Siaya,Seme Sub County,Waterbody - LM 3,Waterbody - Lower Midland,Waterbody - m + (vs/s or vs),Waterbody - Cotton Zone,0.432929137674,4359.21977996826,482.407315306965
10208,Siaya,Sub-County in Siaya,Waterbody - LM 3,Waterbody - Lower Midland,Waterbody - m + (vs/s or vs),Waterbody - Cotton Zone,11.0085298667,108747.288589478,2717.92897972356
10209,Siaya,Sub-County in Siaya,Waterbody - LM 3,Waterbody - Lower Midland,Waterbody - m + (vs/s or vs),Waterbody - Cotton Zone,11.0085298667,2100.2386932373,221.681301123325
10210,Siaya,Rarieda Sub County,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,0.336451328323,1945.75077819824,262.945124546811
10211,Siaya,Rarieda Sub County,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,0.336451328323,1442.64585876465,367.250710276975
10212,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,14.6718426924,147760.061737061,1571.59097414991
10213,Siaya,Rarieda Sub County,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,4.184674003,28458.4550628662,1273.67948475928
10214,Siaya,Rarieda Sub County,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,4.184674003,13685.0776519775,494.601465037349
10215,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,29.2087311456,294158.860595703,2422.23192864526
10216,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,8.46995229018,85288.9828186035,1287.34067515151
10217,Siaya,Rarieda Sub County,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,69.0917639918,695808.527877808,3813.09878898811
10218,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,34.7476473827,90903.2171936035,1205.16886232675
10219,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,34.7476473827,259033.328094482,3250.04651537953
10220,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,2.25137795195,22672.8793792725,1234.84314487747
10221,Siaya,Rarieda Sub County,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,46.7055224033,470360.725036621,3195.7449761515
10222,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,41.6356634211,402597.9427948,4368.35394043129
10223,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,41.6356634211,16706.0039672852,594.300473168682
10224,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,9.67217867893,97407.4460449219,1822.15300642461
10225,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,1.26613620482,12751.0956192017,480.299779844763
10226,Siaya,Rarieda Sub County,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,38.2175425429,384884.123252869,2824.29429639843
10227,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,52.1016657404,524710.260475159,3962.18831088202
10228,Siaya,Rarieda Sub County,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,1329.74458215,13390745.5712967,47777.9582164566
10229,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,266.911577585,142716.414100647,2365.03669303824
10230,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,266.911577585,446547.63331604,4260.60657840791
10231,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,266.911577585,206517.694389343,2832.76288883781
10232,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,266.911577585,408124.531433105,6010.63057416752
10233,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,266.911577585,589833.418365479,6738.99067177662
10234,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,266.911577585,470885.869842529,4657.15220598956
10235,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,266.911577585,1014.32815551758,173.642244785204
10236,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,266.911577585,62.6987762451172,54.0305198933837
10237,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,266.911577585,85959.0347137451,1429.09536467806
10238,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,266.911577585,159331.539718628,2096.31482025542
10239,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,266.911577585,176870.526046753,3013.98974293069
10240,Siaya,Rarieda Sub County,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,10.9614604431,110390.050933838,1594.95439277711
10241,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,23.1257267585,232893.545181274,2590.76531028122
10242,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,0.0806443842313,812.153533935547,228.675256635995
10243,Siaya,Rarieda Sub County,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,188.535279963,1898495.35873413,7804.38876801235
10244,Siaya,Bondo Sub County,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,19.1591680053,119428.655540466,1994.52624563842
10245,Siaya,Bondo Sub County,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,19.1591680053,73522.465713501,1322.61032354028
10246,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,56.9380886723,573420.909172058,5689.4825873755
10247,Siaya,Rarieda Sub County,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,33.4097951935,336435.442375183,5068.8472985255
10248,Siaya,Bondo Sub County,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,37.8477314042,381174.342376709,3808.48468960759
10249,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,21.4226607404,215752.551681519,2777.05138720677
10250,Siaya,Rarieda Sub County,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,296.806284109,1895471.16577148,15182.6709151915
10251,Siaya,Rarieda Sub County,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,296.806284109,12895.2762832642,462.437828897184
10252,Siaya,Rarieda Sub County,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,296.806284109,3563.66356658936,226.217829035031
10253,Siaya,Rarieda Sub County,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,296.806284109,5895.65127563477,281.696204656443
10254,Siaya,Rarieda Sub County,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,296.806284109,1070962.75944519,6778.25110643342
10255,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,144.951179389,466494.33706665,4921.0484263628
10256,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,144.951179389,886047.087379456,12873.3811627565
10257,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,144.951179389,50264.1366882324,1005.90371922775
10258,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,144.951179389,45560.8798217773,1294.43192134381
10259,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,144.951179389,11258.568862915,743.652197204332
10260,Siaya,Rarieda Sub County,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,175.953408587,204974.079444885,2227.47148911121
10261,Siaya,Rarieda Sub County,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,175.953408587,1392783.95277405,7208.84687433178
10262,Siaya,Rarieda Sub County,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,175.953408587,173982.094657898,2127.01559174326
10263,Siaya,Seme Sub County,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,0.79077321414,7962.411277771,776.76043406304
10264,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,104.086059294,674267.64200592,7576.48633070631
10265,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,104.086059294,48248.7987670898,2156.28844345537
10266,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,104.086059294,324687.841766357,3990.79460481205
10267,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,104.086059294,870.507308959961,136.39857880345
10268,Siaya,Bondo Sub County,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,0.370735704588,3733.93042373657,280.769694091768
10269,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,7.39536675534,74483.7870750427,1742.2779295702
10270,Siaya,Bondo Sub County,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,77.610446782,781658.465637207,6386.50094214803
10271,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,100.168389885,1008853.86309052,7913.91980137449
10272,Siaya,Bondo Sub County,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,64.1458887067,646072.820701599,4673.78725582576
10273,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,54.0124362375,344313.399547577,3162.61704112927
10274,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,54.0124362375,199697.180622101,2477.92286705601
10275,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,10.241447346,103152.112533569,1335.31551082038
10276,Siaya,Bondo Sub County,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,112.460024101,1132684.27626801,8154.86489672807
10277,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,67.7081191998,451773.92641449,2989.64109305268
10278,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,67.7081191998,230170.933364868,3020.09414766966
10279,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,11.3711324989,114524.31397438,1617.02827424303
10280,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,0.0544962074876,548.884424209595,244.96289759848
10281,Siaya,Bondo Sub County,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,64.7694019365,600143.173265457,4876.91258060903
10282,Siaya,Bondo Sub County,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,64.7694019365,52218.6385326385,1471.97683293092
10283,Siaya,Sub-County in Siaya,Waterbody - LM 4,Waterbody - Lower Midland,Waterbody - (m/s)+(vu),Waterbody - Marginal Cotton Zone,54.7928998105,8082.10538864136,598.325222076587
